Part Name                           ,Part Number  ,Quantity ,Description                                                   ,Supplier          ,Unit Price ,Purchase Link
PETG 3D Printed Body                ,N/A          ,1        ,Custom 3D printed enclosure                                   ,In-house          ,N/A        ,N/A
Seed Studio ESP32-S3                ,ESP32-S3     ,1        ,Dual core mcu with Wi-Fi and BLE                              ,DigiKey           ,7.49       ,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/113991114/19285530
BLDC Motor (Master)                 ,M8312S 100KV ,1        ,Brushless DC Motor 90KV                                       ,Supplier XYZ      ,53.00      ,https://www.aliexpress.us/item/3256802425926647.html?spm=a2g0o.order_list.order_list_main.68.21221802i7d09V&gatewayAdapt=glo2usa
Odrive Pro heat spreader            ,N/A          ,1        ,Odrive Pro heat spreader                                      ,ODrive Robotics   ,12.00      ,https://shop.odriverobotics.com/products/heat-spreader-plate-for-odrive-pro
Motor mount plate                   ,N/A          ,1        ,Motor mount plate                                             ,ODrive Robotics   ,12.00      ,https://shop.odriverobotics.com/products/pancake-motor-plate
BLDC Motor (Slave)                  ,M8325S 100KV ,1        ,Included in combo below                                       ,ODrive Robotics   ,0.00       ,N/A
ODrive S1 Motor Controller (Master) ,ODrive-S1    ,1        ,Included in combo below                                       ,ODrive Robotics   ,0.00       ,N/A
ODrive Combo S1 Kit                 ,ODrive-Kit   ,1        ,S1 controller with motor and mounts                           ,ODrive Robotics   ,329.00     ,https://shop.odriverobotics.com/products/s1-and-m8325s-start-kit
ODrive Pro Motor Controller (Slave) ,ODrive-Pro   ,1        ,Motor controller for slave motor                              ,ODrive Robotics   ,230.00     ,https://shop.odriverobotics.com/products/odrive-pro
12S 2170 Lithium-Ion Custom Pack    ,12S-2170     ,12       ,MOLICEL/NPE INR-21700-P42A 45A 4200MAH FLAT TOP 21700 BATTERY ,LIION             ,4.85       ,https://liionwholesale.com/collections/batteries/products/molicel-npe-inr-21700-p42a-45a-4200mah-flat-top-21700-battery-authorized-distributor?variant=15913210675294
Nickel Strip                        ,N/A          ,1        ,Nickel strip for battery pack                                 ,LIION             ,N/A        ,https://liionwholesale.com/collections/nickel-strip-and-nickel-tabs/products/pure-nickel-strip-roll-0-15mm-0-2mm-thickness-6mm-10mm-widths?variant=40512682852421
36T Planetary Gear                  ,N/A          ,1        ,~5:1 reduction gear for slave motor                           ,Aliexpress        ,23.75      ,https://www.aliexpress.us/item/3256803958138585.html?spm=a2g0o.order_list.order_list_main.4.21221802i7d09V&gatewayAdapt=glo2usa
LILYGO T-Display S3 AMOLED          ,H681         ,1        ,Touch non-soldered H681 version                               ,LILYGO            ,30.00      ,https://www.lilygo.cc/products/t-display-s3-amoled?variant=43228221636789
ANO Directional Nav/Scroll Wheel    ,ANO-Scroll   ,1        ,Rotary encoder for navigation and scrolling                   ,ANO Electronics   ,15.00      ,https://example.com/ano-scroll-wheel
LSM6DS33 Accelerometer and Gyro     ,LSM6DS33     ,1        ,6-axis accelerometer and gyroscope                            ,Pololu            ,15.00      ,https://www.pololu.com/product/2736
1-inch Seatbelt Webbing Nylon Strap ,N/A          ,20       ,20 feet of strong nylon strap with seatbelt webbing           ,Strapworks        ,0.5        ,https://www.strapworks.com/1-inch-seatbelt-nylon-black
70x10mm Ring Bearing                ,N/A          ,1        ,Bearing for main drive                                        ,Uxcell Amazon     ,14.00      ,https://www.amazon.com/gp/product/B0B5XQBXMH/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&th=1
45x7mm Ring Bearing                 ,N/A          ,2        ,Bearing for slave motor                                       ,Uxcell Amazon     ,3.00       ,https://www.amazon.com/gp/product/B09D2J9P82/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&th=1
C-Channel Steel (Output Arm)        ,N/A          ,1        ,Steel arm for output                                          ,Steel Supplier    ,5.00       ,N/A
Misc Metric Screws and Inserts      ,N/A          ,Assorted ,Various screws and threaded inserts                           ,Hardware Supplier ,10.00      ,N/A
CAN transceiver                     ,N/A          ,1        ,CAN transceiver board                                         ,PCB Supplier      ,6.00       ,https://www.amazon.com/gp/product/B0BCJ31N2V/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
Grip tape (cattongue)               ,N/A          ,1        ,Grip tape for bottom of unit to avoid slip                    ,Amazon            ,N/A        ,https://www.amazon.com/gp/product/B08CS3Q3Y4/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
